folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"11-00417013509-A0011";1;1;2;"";;3000;1;"";1;2;"";6;"";1;"";120;1;1;1;1;120;6;"";1;800;2;;1;60;2;"";;2;;2;;2;;2;;2;"";;1;4;"";80;4;3;1;40;1;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0081";1;4;1;"";1000;;1;"";1;2;"";6;"";2;"";100;1;1;2;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";46;1;0;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0161";1;3;2;"";;1000;1;"";1;2;"";6;"";1;"";100;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";25;3;1;1;30;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0231";1;1;2;"";;1000;2;"";1;2;"";6;"";1;"";100;1;1;1;1;100;6;"";1;7000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;2;1;1;25;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0301";1;1;2;"";;1500;2;"";1;2;"";6;"";1;"";100;1;1;1;1;450;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;4;3;1;35;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0381";1;3;1;"";1500;;2;"";1;2;"";5;"";1;"";70;1;1;1;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0451";1;1;2;"";;1200;1;"";1;2;"";4;"";1;"";40;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0521";1;1;2;"";;500;2;"";1;2;"";6;"";1;"";40;1;1;1;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;1;40;2;"01";"0101";"010101";1;"11-00417013509-A";1;21;11;2014;319;323
"11-00417013509-A0601";1;4;1;"";350;;1;"";1;1;"";6;"";2;"";30;1;1;1;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";11;1;1;2;;1;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417013509-A0671";1;1;2;"";;400;2;"";1;2;"";5;"";1;"";120;1;1;1;1;140;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;3;1;1;30;2;"01";"0101";"010101";1;"11-00417013509-A";1;24;11;2014;319;323
"11-00417013509-A0741";1;3;2;"";;900;1;"";1;3;"";3;"";1;"";50;1;1;1;1;80;6;"";1;500;1;500;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;4;3;1;50;2;"01";"0101";"010101";1;"11-00417013509-A";1;25;11;2014;319;323
"11-00417013509-A0821";1;3;2;"";;1500;2;"";1;2;"";3;"";1;"";45;1;1;1;1;130;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";11;4;1;1;120;2;"01";"0101";"010101";1;"11-00417013509-A";1;22;11;2014;319;323
"11-00417139432-A0081";1;1;1;"";1200;;1;"";1;1;"";6;"";1;"";80;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;3;2;2;;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0161";1;3;2;"";;1400;1;"";1;3;"";3;"";1;"";60;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";13;3;2;1;30;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0241";1;3;1;"";1400;;1;"";1;3;"";3;"";1;"";50;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;3;2;1;29;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0321";1;1;3;"";;3000;1;"";1;3;"";3;"";1;"";100;1;1;1;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;4;3;1;26;1;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0401";1;3;2;"";;3500;1;"";1;2;"";6;"";1;"";250;1;1;1;1;150;6;"";1;400;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;6;4;1;50;1;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0471";1;3;2;"";;2000;1;"";1;3;"";6;"";1;"";50;1;1;1;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;4;1;1;40;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0551";1;3;2;"";;3000;1;"";1;3;"";6;"";1;"";220;1;1;1;1;300;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;4;2;1;68;1;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0631";1;1;5;"";;1300;2;"";1;2;"";5;"";1;"";40;1;1;1;1;100;6;"";1;500;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";28;4;2;1;30;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0711";1;1;2;"";;3500;2;"";1;2;"";3;"";1;"";50;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;5;3;1;30;1;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0791";1;1;2;"";;1500;2;"";1;2;"";3;"";1;"";80;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;4;1;1;30;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0871";1;1;1;"";3500;;1;"";1;2;"";6;"";1;"";60;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;3;2;1;60;2;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417139432-A0941";1;1;2;"";;3000;1;"";1;2;"";6;"";1;"";80;1;1;1;1;200;6;"";1;1000;1;1000;2;;2;"";;2;;2;;1;1000;1;4000;2;"";;1;4;"";20;3;2;1;29;1;"01";"0101";"010101";1;"11-00417139432-A";1;18;11;2014;319;323
"11-00417529672-A0031";1;4;1;"";300;;1;"";1;3;"";5;"";2;"";20;1;1;2;1;40;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0051";1;4;1;"";200;;1;"";1;3;"";5;"";2;"";20;1;1;2;1;30;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0081";1;4;2;"";;400;1;"";2;1;"";5;"";2;"";24;1;1;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0111";1;1;1;"";500;;2;"";1;2;"";5;"";1;"";20;1;1;1;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";12;1;1;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0141";1;4;1;"";150;;2;"";2;1;"";5;"";1;"";24;1;1;2;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0161";1;4;1;"";250;;1;"";1;1;"";5;"";2;"";16;1;1;2;1;10;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";13;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0191";1;3;1;"";4000;;1;"";1;1;"";6;"";1;"";130;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";125;5;4;1;25;1;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0221";1;3;2;"";;1500;1;"";1;1;"";5;"";1;"";18;1;1;1;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;4;2;1;20;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0251";1;4;2;"";;400;2;"";1;1;"";5;"";2;"";70;1;4;2;1;70;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";18;2;1;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0271";1;4;5;"";;200;2;"";1;2;"";5;"";2;"";60;1;4;2;1;70;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0301";1;1;6;"";;700;1;"";1;2;"";6;"";1;"";20;1;1;2;1;125;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417529672-A0331";1;4;2;"";;400;1;"";1;3;"";6;"";2;"";130;1;4;2;1;90;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;0;2;;2;"01";"0101";"010101";1;"11-00417529672-A";1;25;11;2014;319;323
"11-00417726757-A0061";1;4;1;"";300;;1;"";1;2;"";6;"";2;"";20;1;1;1;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;"01";"0101";"010101";1;"11-00417726757-A";1;29;11;2014;319;323
"11-00417726757-A0111";1;4;1;"";350;;1;"";1;1;"";5;"";2;"";30;1;1;2;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0161";1;1;2;"";;700;1;"";1;2;"";6;"";1;"";40;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;6;5;1;40;1;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0221";1;1;5;"";;500;1;"";1;2;"";2;"";1;"";100;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";12;2;1;1;50;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0271";1;1;6;"";;1000;2;"";1;1;"";5;"";1;"";45;1;1;1;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0331";1;3;2;"";;1300;1;"";1;3;"";5;"";1;"";40;1;1;1;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;3;2;1;30;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0381";1;1;2;"";;1000;2;"";2;2;"";5;"";1;"";30;1;1;1;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;3;2;1;29;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0441";1;4;1;"";300;;1;"";1;2;"";5;"";2;"";20;1;1;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";8;1;0;2;;1;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0491";1;1;2;"";;600;1;"";1;2;"";6;"";1;"";20;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;3;1;1;30;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0541";1;1;2;"";;500;2;"";1;2;"";5;"";1;"";30;1;1;1;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;5;3;2;;1;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0601";1;1;2;"";;700;1;"";1;2;"";6;"";1;"";30;1;1;1;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";17;5;1;1;40;2;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417726757-A0651";1;1;1;"";250;;1;"";1;2;"";6;"";1;"";45;1;1;1;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";17;1;0;2;;1;"01";"0101";"010101";1;"11-00417726757-A";1;28;11;2014;319;323
"11-00417804463-A0011";1;3;2;"";;2000;1;"";1;1;"";6;"";1;"";50;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";17;7;6;1;30;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0041";1;1;2;"";;2000;1;"";1;2;"";6;"";1;"";20;1;1;1;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;4;3;1;50;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0081";1;4;1;"";250;;1;"";1;3;"";6;"";2;"";20;1;1;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";8;1;0;2;;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0111";1;3;6;"";;700;1;"";1;2;"";6;"";1;"";30;1;1;1;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;3;2;1;35;2;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0151";1;4;1;"";250;;1;"";1;2;"";6;"";2;"";25;1;1;2;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0181";1;1;2;"";;300;1;"";1;2;"";6;"";1;"";80;1;1;1;1;90;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";15;4;1;1;30;2;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0211";1;3;6;"";;1000;1;"";1;2;"";6;"";1;"";200;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;7;5;1;28;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0251";1;3;1;"";1800;;1;"";1;2;"";6;"";1;"";100;1;1;1;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;5;3;1;30;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0281";1;1;2;"";;900;1;"";1;1;"";6;"";1;"";22;1;1;1;1;110;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";12;4;2;1;30;2;"01";"0101";"010101";1;"11-00417804463-A";1;28;11;2014;319;323
"11-00417804463-A0321";1;1;2;"";;2000;1;"";1;1;"";6;"";1;"";30;1;1;1;1;110;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";10;4;3;1;30;1;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0351";1;1;2;"";;600;1;"";1;1;"";6;"";1;"";60;1;1;1;1;68;6;"";1;2000;1;1000;1;500;2;"";;1;5000;1;2000;2;;2;;2;"";;1;4;"";18;6;2;1;32;2;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00417804463-A0381";1;1;2;"";;800;1;"";2;2;"";6;"";1;"";85;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;0;2;;2;;2;;2;"";;1;3;"";23;7;4;2;;2;"01";"0101";"010101";1;"11-00417804463-A";1;26;11;2014;319;323
"11-00418142107-A0021";1;4;5;"";;350;1;"";2;3;"";6;"";2;"";30;1;1;1;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";8;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0071";1;4;1;"";250;;1;"";1;2;"";6;"";2;"";40;1;1;2;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0111";1;1;2;"";;2000;1;"";1;3;"";6;"";1;"";150;1;1;1;1;200;6;"";2;;2;;2;;2;"";;1;2000;2;;2;;2;;2;"";;1;4;"";50;5;1;1;30;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0161";1;1;5;"";;600;1;"";1;2;"";6;"";1;"";30;1;1;1;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;1;30;2;"01";"0101";"010101";1;"11-00418142107-A";1;19;11;2014;319;323
"11-00418142107-A0201";1;1;2;"";;500;1;"";1;2;"";5;"";1;"";60;1;1;1;1;130;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";24;3;3;2;;1;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0251";1;1;1;"";500;;1;"";1;2;"";6;"";1;"";30;1;1;1;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";25;1;1;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0291";1;4;1;"";200;;2;"";1;2;"";5;"";2;"";15;1;1;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0341";1;4;1;"";200;;1;"";1;2;"";6;"";2;"";15;1;1;2;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0381";1;1;1;"";400;;1;"";1;2;"";6;"";1;"";30;1;1;2;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";22;2;1;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;19;11;2014;319;323
"11-00418142107-A0431";1;1;1;"";300;;1;"";1;2;"";6;"";1;"";35;1;1;1;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";7;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;19;11;2014;319;323
"11-00418142107-A0471";1;1;2;"";;800;1;"";1;2;"";5;"";1;"";80;1;1;1;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;4;3;1;30;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418142107-A0521";1;4;1;"";350;;1;"";1;3;"";6;"";2;"";20;1;1;1;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";8;1;0;2;;2;"01";"0101";"010101";1;"11-00418142107-A";1;18;11;2014;319;323
"11-00418331953-A0011";1;4;2;"";;800;1;"";1;1;"";6;"";2;"";50;1;1;2;1;70;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0031";1;4;1;"";250;;1;"";2;3;"";5;"";2;"";20;1;1;2;1;50;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0051";1;1;2;"";;800;1;"";1;1;"";5;"";1;"";40;1;1;1;1;80;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";34;4;3;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0071";1;4;1;"";250;;1;"";2;1;"";1;"";2;"";30;1;1;2;1;50;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0091";1;4;6;"";;1500;2;"";1;2;"";5;"";2;"";40;1;1;2;1;40;6;"";1;2100;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;2;1;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;19;11;2014;319;323
"11-00418331953-A0111";1;4;1;"";200;;1;"";1;3;"";5;"";2;"";25;1;1;2;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";14;1;0;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;19;11;2014;319;323
"11-00418331953-A0131";1;4;1;"";250;;1;"";1;3;"";5;"";2;"";30;1;1;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;19;11;2014;319;323
"11-00418331953-A0151";1;4;1;"";150;;2;"";1;1;"";5;"";2;"";25;1;1;2;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;1;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;19;11;2014;319;323
"11-00418331953-A0171";1;4;1;"";300;;2;"";1;1;"";5;"";2;"";35;1;1;2;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";14;1;0;2;;2;"01";"0101";"010101";1;"11-00418331953-A";1;21;11;2014;319;323
"11-00418331953-A0191";1;1;2;"";;3000;1;"";1;2;"";5;"";1;"";46;1;1;1;1;85;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";42;6;3;1;32;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0211";1;4;2;"";;1400;2;"";1;2;"";5;"";2;"";35;1;1;2;1;85;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;1;23;2;"01";"0101";"010101";1;"11-00418331953-A";1;20;11;2014;319;323
"11-00418331953-A0231";1;4;1;"";300;;1;"";1;2;"";5;"";2;"";35;1;1;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";14;1;0;1;23;2;"01";"0101";"010101";1;"11-00418331953-A";1;21;11;2014;319;323
"11-00418531799-A0011";1;4;2;"";;300;2;"";1;2;"";5;"";2;"";20;1;1;2;1;80;6;"";2;;2;;1;50;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;2;1;2;;1;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0051";1;4;2;"";;500;1;"";1;1;"";5;"";2;"";24;1;1;2;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;3;2;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;26;11;2014;319;323
"11-00418531799-A0091";1;1;6;"";;800;1;"";1;1;"";5;"";1;"";30;1;1;1;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;1;2;;1;"01";"0101";"010101";1;"11-00418531799-A";1;26;11;2014;319;323
"11-00418531799-A0121";1;4;1;"";350;;2;"";1;1;"";5;"";2;"";15;1;1;1;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;1;30;1;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0161";1;4;2;"";;600;1;"";1;2;"";5;"";2;"";25;1;1;1;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;2;1;2;;1;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0201";1;4;1;"";450;;1;"";1;2;"";5;"";2;"";50;1;1;2;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;2;2;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0231";1;4;1;"";250;;1;"";1;2;"";5;"";2;"";40;1;1;2;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;2;1;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0271";1;4;1;"";140;;1;"";1;3;"";5;"";2;"";15;1;1;2;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";12;1;0;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0311";1;1;2;"";;1300;1;"";1;3;"";5;"";1;"";22;1;1;2;1;67;5;"";1;1300;2;;1;70;2;"";;2;;2;;2;;2;;2;"";;1;4;"";18;4;3;1;0;2;"01";"0101";"010101";1;"11-00418531799-A";1;25;11;2014;319;323
"11-00418531799-A0341";1;4;5;"";;1000;1;"";1;3;"";5;"";2;"";20;1;1;2;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";35;2;1;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;26;11;2014;319;323
"11-00418531799-A0381";1;4;2;"";;1500;2;"";1;2;"";5;"";2;"";50;1;1;2;1;65;5;"";2;;2;;2;;1;"Ns/Nr";120;2;;2;;2;;2;;2;"";;1;4;"";15;4;1;2;;2;"01";"0101";"010101";1;"11-00418531799-A";1;26;11;2014;319;323
