folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"42-04358176837-A0121";1;1;4;"";;100;2;"";1;1;"";3;"";4;"";0;6;;;1;20;6;"";1;500;2;;1;200;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;2;1;2;;2;"04";"0406";"040602";2;"42-04358176837-A";4;5;12;2014;255;256
"42-04399667249-D0011";1;1;2;"";;100;2;"";1;4;"";1;"";7;"";0;2;;1;1;15;2;"";1;1000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;1;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;4;12;2014;351;352
"42-04399667249-D0021";1;1;2;"";;50;2;"";1;4;"";1;"";7;"";0;2;;1;1;15;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;2;0;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0041";1;2;2;"";;50;2;"";2;4;"";1;"";7;"";0;2;;1;1;22;2;"";2;;2;;2;;2;"";;1;5000;2;;2;;2;;2;"";;1;3;"";50;2;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;4;12;2014;351;352
"42-04399667249-D0051";1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;2;;1;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0071";1;1;2;"";;25;2;"";2;4;"";1;"";6;"";0;2;;1;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0081";1;1;4;"";;100;1;"";1;1;"";6;"";5;"";0;2;;2;1;0;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0091";1;1;2;"";;20;2;"";2;1;"";1;"";2;"";0;6;;;1;20;1;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;2;2;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0111";1;1;2;"";;80;2;"";1;1;"";1;"";7;"";0;2;;1;1;20;2;"";2;;2;;1;30;2;"";;1;1000;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0121";1;1;2;"";;30;2;"";1;1;"";1;"";1;"";5;6;;;1;20;2;"";1;2000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;1;"";0;1;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
"42-04399667249-D0141";1;1;2;"";;50;2;"";2;4;"";1;"";6;"";0;6;;;1;15;1;"";1;200;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;2;"";0;2;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;4;12;2014;351;352
"42-04399667249-D0151";1;1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;1;28;1;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;3;1;2;;2;"04";"0406";"040603";2;"42-04399667249-D";5;3;12;2014;351;352
