folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"613-02978530449-A-0381";1;2;"";;1000;2;;1;"";1;3;"";6;"";1;"";24;0;60;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;2;;2;6;1;"613-02978530449-A";"13";156
"613-02981427702-A-0011";4;6;"";;850;2;;1;"";1;3;"";6;"";1;"";6;0;60;1;1;2;2;1;220;6;"";1;0;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;2;;2;6;1;"613-02981427702-A";"13";156
"613-02982458243-A-0121";1;2;"";;1500;2;;1;"";1;3;"";6;"";1;"";12;0;70;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;1;15000;2;;2;;2;;2;"";;1;4;"";8;3;2;1;20;2;6;1;"613-02982458243-A";"13";156
"614-02972589424-A-0011";1;2;"";;3500;1;2;1;"";1;2;"";6;"";2;"";24;0;60;1;1;1;;1;180;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;2;2;1;22;2;6;1;"614-02972589424-A";"14";166
"614-02974257014-A-0201";1;2;"";;2500;2;;1;"";1;2;"";6;"";1;"";24;0;80;1;1;1;;1;120;6;"";2;;1;2000;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;4;2;1;25;1;6;1;"614-02974257014-A";"14";166
"614-02975009462-A-0101";1;2;"";;1500;2;;2;"";1;2;"";6;"";2;"";22;0;150;1;1;1;;1;220;6;"";2;;2;;1;35;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;2;1;120;1;6;1;"614-02975009462-A";"14";183
"614-02975711719-A-0091";1;2;"";;2100;1;2;1;"";1;1;"";6;"";1;"";24;0;65;1;1;1;;1;130;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;5;3;1;25;2;6;1;"614-02975711719-A";"14";152
"614-02975711719-A-0121";1;2;"";;1500;2;;1;"";1;1;"";6;"";1;"";24;0;60;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;2;1;1;25;2;6;1;"614-02975711719-A";"14";152
"614-02976961712-A-0321";4;2;"";;1500;2;;1;"";1;3;"";6;"";1;"";24;0;25;1;1;2;2;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;1;1;2;;2;6;1;"614-02976961712-A";"14";152
"622-02608618181-A-0011";3;2;"";;1000;2;;1;"";1;3;"";6;"";1;"";14;0;45;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;3;1;2;;2;6;1;"622-02608618181-A";"12";123
