folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"543-03461776658-A-0091";2;4;"";;300;2;;2;"";1;4;"";8;"LAJA";2;"";0;45;12;1;1;1;;1;50;6;"";1;1000;2;;1;100;2;"";;2;;2;;2;;2;;2;"";;1;3;"";52;2;2;2;;1;5;2;"543-03461776658-A";"23";580
"312-05217704731-A-0512";4;1;"";15;;2;;2;"";2;1;"";8;"PIEDRA";2;"";1;0;30;1;1;2;2;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;2;3;1;"312-05217704731-A";"12";187
"222-06049467722-A-0051";1;2;"";;100;2;;1;"";2;1;"";8;"LADRILLO GAMBOTE";6;"";;;0;3;;1;;1;18;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;3;2;2;;2;2;1;"22206049467722-A";"12";207
"311-05172738989-A-0091";4;3;"";;100;2;;1;"";1;1;"";8;"PIEDRA";11;"";;;27;5;;;;1;16;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;1;2;;2;3;1;"311-05172738989-A";"11";152
"312-05208369195-A-0271";1;5;"";;100;2;;2;"";1;1;"";8;"PIEDRA";4;"";;;45;1;2;1;;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;0;2;;2;3;1;"312-05208369195-A";"12";224
"263-06140024883-A-0201";1;1;"";;;2;;7;"ns/nr";2;5;"ns/nr";8;"ns/nr";1;"";24;0;25;1;1;1;;1;45;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;3;1;2;;2;2;1;"263-06140024883-A";"13";233
"314-05233190771-A-0141";1;2;"";;3500;2;;2;"";1;1;"";8;"PIEDRA, TIERRA, LADRILLO";1;"";1;0;260;5;;;;1;500;6;"";1;2500;2;;1;140;2;"";;2;;2;;2;;2;;2;"";;1;3;"";22;4;2;2;;2;3;1;"314-05233190771-A";"14";210
"422-04534312579-A-0171";1;2;"";;100;2;;2;"";1;1;"";8;"SON PIEDRA";2;"";2;0;18;5;;;;1;30;6;"";1;1500;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";22;4;1;2;;2;4;1;"422-04534312579-A";"12";224
"712-05251216800-A-0082";4;5;"";;250;2;;1;"";1;2;"";8;"ns/nr";2;"";24;0;62;5;;;;1;48;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;7;1;"712-05251216800-A";"12";289
"214-00629768869-A-0251";3;3;"";;3500;2;;1;"";1;1;"";8;"PISO FLOTANTE";1;"";2;0;55;1;1;1;;1;80;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;2;1;"214-00629768869-A";"14";280
"214-00629064951-A-0911";3;2;"";;1800;2;;1;"";1;3;"";8;"PISO FLOTANTE";1;"";24;0;18;1;1;1;;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;4;2;1;145;2;2;1;"214-00629064951-A";"14";280
"442-05052673215-A-0061";1;2;"";;;2;;2;"";2;2;"";8;"PIEDRA";8;"";;;5;5;;;;1;15;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;1;2;;2;4;2;"442-05052673215-A";"22";303
"261-06161944371-A-0141";1;2;"";;200;2;;1;"";1;1;"";8;"PIEDRA";2;"";24;0;20;5;;;;1;30;3;"";2;;2;;2;;2;"";;1;7000;1;3000;2;;2;;2;"";;2;3;"";26;1;0;2;;1;2;1;"261-06161944371-A";"11";201
"522-04452492854-A-0071";1;2;"";;150;2;;2;"";2;1;"";8;"PIEDRA, EMPEDRADO";3;"";3;0;6;5;;;;1;17;2;"";2;;2;;2;;2;"";;1;3000;2;;2;;2;;2;"";;2;3;"";23;1;1;2;;2;5;1;"522-04452492854-A";"12";554
"443-04632381240-D-0321";1;2;"";;80;2;;2;"";1;4;"";8;"DE PIEDRA";2;"";24;0;15;3;;1;;1;15;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";22;4;3;2;;2;4;2;"443-04632381240-D";"23";223
"952-11626967217-D-0191";2;2;"";;100;2;;7;"PACHUBA";2;4;"";8;"PACHUBA";8;"";;;0;2;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;1;"";0;1;1;2;;2;9;2;"952-11626967217-D";"22";72
"432-05082317101-A-0011";1;5;"";;50;2;;2;"";1;1;"";7;"";1;"";;;24;5;;;;1;25;7;"LA COMUNIDAD TIENE UN HOYO DONDE BOTAN LA BASURA";1;240;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";48;2;2;2;;2;4;1;"432-05081328990-A";"12";244
"432-04615547742-A-0091";1;2;"";;350;2;;2;"";1;1;"";7;"";2;"";24;0;12;1;1;1;;1;50;7;"POZOS BASURALES";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;2;2;2;;2;4;1;"432-04615547742-A";"12";244
"432-05081328990-A-0081";1;2;"";;100;2;;2;"";1;4;"";7;"";1;"";;;24;5;;;;1;22;7;"LA COMUNIDAD TIENE UN HOYO DONDE TODOS DEPOSITAN SU BASURA";1;100;2;;1;100;2;"";;1;1000;1;500;2;;2;;2;"";;2;3;"";30;3;1;2;;2;4;1;"432-05081328990-A";"12";244
"454-04626173250-A-0101";1;4;"";;90;2;;2;"";1;1;"";7;"";2;"";24;0;5;5;;;;1;40;7;"CASAS VACIAS";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;0;2;;2;4;2;"454-04626173250-A";"24";191
"432-04615547742-A-0111";1;5;"";;50;2;;2;"";1;1;"";7;"";2;"";24;0;8;5;;;;1;25;7;"POZOS BASURALES HECHOS POR LA ALCALDIA";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;2;4;1;"432-04615547742-A";"12";244
"413-00477934146-A-0101";1;2;"";;700;2;;2;"";1;2;"";7;"";1;"";8;0;33;1;1;1;;1;99;6;"";1;3000;2;;2;;2;"";;1;3000;1;1600;2;;2;;2;"";;1;3;"";132;3;2;2;;2;4;1;"413-00477934146-A";"13";283
"713-05280945077-A-0331";1;5;"";;1500;2;;1;"";2;2;"";7;"";2;"";24;0;120;3;;1;;1;200;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";81;2;0;2;;2;7;1;"713-05280945077-A";"13";375
"712-05271236671-A-0271";1;2;"";;700;2;;1;"";1;2;"";7;"";2;"";24;0;42;1;2;1;;1;150;6;"";2;;2;;2;;2;"";;2;;1;2000;2;;2;;2;"";;1;3;"";75;4;3;2;;2;7;1;"712-05271236671-A";"12";312
"833-08080615197-A-0022";1;5;"";;300;2;;1;"";1;1;"";7;"";4;"";;;;3;;2;2;1;90;6;"";2;;2;;2;;2;"";;1;9000;2;;2;;2;;2;"";;1;3;"";70;3;3;2;;2;8;1;"833-08080615197-A";"13";237
"833-08080615197-A-0051";4;5;"";;250;2;;1;"";2;1;"";7;"";4;"";;;;3;;2;2;1;40;6;"";1;5000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";70;1;1;2;;1;8;1;"833-08080615197-A";"13";237
"833-08080615197-A-0171";1;3;"";;500;2;;1;"";2;1;"";7;"";3;"";24;0;;3;;1;;1;38;6;"";1;1000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";70;2;2;2;;2;8;1;"833-08080615197-A";"13";237
"314-05242156430-A-0011";1;4;"";;700;2;;1;"";1;1;"";7;"";1;"";4;0;;1;1;2;2;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";69;1;1;1;25;2;3;1;"314-05242156430-A";"14";192
"444-04915886337-A-0011";1;2;"";;240;2;;2;"";1;1;"";7;"";8;"";;;5;1;1;2;2;1;30;6;"";1;300;1;120;1;15;2;"";;2;;2;;2;;2;;2;"";;1;3;"";54;2;2;2;;2;4;2;"444-04915886337-A";"24";191
"723-05276277125-A-0131";4;1;"";300;;2;;1;"";1;2;"";7;"";1;"";24;0;30;1;2;2;6;1;50;6;"";2;;2;;1;70;1;"PODA DE ARBOL";30;2;;2;;2;;2;;2;"";;1;3;"";54;1;1;2;;2;7;1;"723-05276277125-A";"13";375
"444-04915886337-A-0021";4;5;"";;;2;;2;"";1;1;"";7;"";8;"";;;0;1;1;2;2;1;0;6;"";2;;1;60;1;36;2;"";;2;;2;;2;;2;;2;"";;2;3;"";53;0;0;2;;2;4;2;"444-04915886337-A";"24";191
"413-00477934146-A-0071";1;2;"";;1000;2;;2;"";1;1;"";7;"";2;"";24;0;100;1;1;1;;1;250;6;"";1;1000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;2;1;1;80;1;4;1;"413-00477934146-A";"13";283
"711-05266666670-A-0201";1;2;"";;300;2;;1;"";2;2;"";7;"";2;"";24;0;60;1;2;1;;1;93;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;3;2;2;;2;7;1;"711-05266666670-A";"11";312
"712-05180832225-A-0011";1;2;"";;800;2;;1;"";1;2;"";7;"";2;"";24;0;40;1;3;1;;1;140;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;4;3;2;;1;7;1;"712-05180832225-A";"12";312
"712-05188378703-A-0221";1;2;"";;800;2;;1;"";1;2;"";7;"";2;"";24;0;30;2;;1;;1;85;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;4;2;2;;2;7;1;"712-05188378703-A";"12";312
"712-05188378703-A-0231";1;2;"";;500;2;;1;"";2;1;"";7;"";2;"";24;0;30;3;;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;2;7;1;"712-05188378703-A";"12";312
"712-05191502517-A-0071";1;1;"";400;;2;;1;"";2;3;"";7;"";1;"";24;0;40;1;2;1;;1;150;6;"";2;;2;;2;;2;"";;1;500;2;;2;;2;;2;"";;1;3;"";50;3;2;2;;2;7;1;"712-05191502517-A";"12";312
"712-05198746417-A-0061";1;2;"";;800;2;;1;"";1;2;"";7;"";1;"";24;0;40;1;3;1;;1;38;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;2;2;2;;2;7;1;"712-05198746417-A";"12";341
"712-05201628165-A-0102";1;1;"";450;;2;;1;"";1;2;"";7;"";1;"";24;0;10;1;3;2;3;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;3;2;2;;2;7;1;"712-05201628165-A";"12";312
"712-05201628165-A-0233";1;2;"";;400;2;;1;"";2;2;"";7;"";1;"";24;0;35;2;;2;3;1;80;6;"";1;2000;2;;2;;2;"";;1;2000;2;;2;;2;;2;"";;1;3;"";50;1;1;2;;2;7;1;"712-05201628165-A";"12";312
"712-05271236671-A-0171";1;2;"";;800;2;;1;"";2;2;"";7;"";1;"";24;0;70;1;2;1;;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;2;1;2;;2;7;1;"712-05271236671-A";"12";312
"712-05275875287-A-0291";1;2;"";;700;2;;1;"";1;2;"";7;"";1;"";24;0;40;2;;2;3;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;2;1;2;;2;7;1;"712-05275875287-A";"12";312
"721-05147862790-A-0261";4;3;"";;1000;2;;1;"";2;2;"";7;"";1;"";24;0;40;1;2;1;;1;150;6;"";2;;2;;2;;2;"";;1;15000;2;;2;;2;;2;"";;1;3;"";50;4;4;2;;2;7;1;"721-05147862790-A";"11";341
"721-05269804979-A-0231";1;4;"";;800;2;;1;"";2;2;"";7;"";2;"";24;0;80;2;;2;2;1;100;6;"";2;;2;;2;;2;"";;2;;1;200;2;;2;;2;"";;2;3;"";50;2;1;2;;2;7;1;"721-05269804979-A";"11";312
"722-05143662567-A-0101";1;2;"";;700;2;;5;"";2;1;"";7;"";2;"";24;0;30;3;;2;4;1;30;6;"";1;1000;2;;2;;2;"";;1;2000;2;;2;;2;;2;"";;2;3;"";50;1;1;2;;2;7;1;"722-05143662567-A";"12";341
"722-05153602488-A-0021";4;5;"";;350;2;;1;"";2;2;"";7;"";2;"";24;0;20;3;;2;2;1;95;6;"";2;;1;300;2;;2;"";;2;;1;380;2;;1;500;2;"";;1;3;"";50;1;1;2;;2;7;1;"722-05153602488-A";"12";312
"723-05137286714-A-0081";4;5;"";;300;2;;1;"";2;2;"";7;"";2;"";24;0;80;2;;1;;1;75;6;"";1;300;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;1;7;1;"723-05137286714-A";"13";345
"833-08080615197-A-0141";4;5;"";;200;2;;1;"";2;1;"";7;"";4;"";;;;3;;2;5;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";50;1;0;2;;2;8;1;"833-08080615197-A";"13";237
"833-08080615197-A-0161";1;4;"";;500;2;;1;"";2;1;"";7;"";4;"";;;;3;;2;5;1;30;6;"";1;300;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;1;1;2;;2;8;1;"833-08080615197-A";"13";237
"412-00479854944-A-0021";1;1;"";80;;2;;2;"";1;1;"";7;"";2;"";1;0;8;2;;1;;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;1;1;2;;2;4;1;"412-00479854944-A";"12";224
"414-00479098214-A-0181";4;5;"";;200;2;;2;"";1;1;"";7;"";2;"";4;0;25;1;1;1;;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;2;1;1;35;2;4;1;"414-00479098214-A";"14";373
"414-00479098214-A-0521";1;2;"";;100;2;;2;"";1;1;"";7;"";2;"";4;0;15;1;1;2;3;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;1;1;2;;2;4;1;"414-00479098214-A";"14";373
"422-04534312579-A-0051";1;5;"";;200;2;;2;"";1;1;"";7;"";2;"";3;0;13;1;1;1;;1;50;6;"";1;200;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;2;2;2;;2;4;1;"422-04534312579-A";"12";224
"443-04066637160-A-0021";1;2;"";;;2;;2;"";2;4;"";7;"";8;"";;;7;1;3;1;;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";45;2;1;2;;1;4;2;"443-04066637160-A";"23";223
"721-05646581557-A-0211";1;5;"";;300;2;;1;"";2;2;"";7;"";2;"";24;0;36;3;;1;;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";40;1;1;2;;2;7;1;"721-05646581557-A";"11";312
"443-04066374127-A-0091";1;2;"";;50;2;;2;"";1;1;"";7;"";8;"";;;7;1;1;1;;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";35;2;1;2;;2;4;2;"443-04066637160-A";"23";223
"443-04066637160-A-0011";1;2;"";;50;1;2;2;"";2;1;"";7;"";12;"SU VECINO LE PASA AGUA";;;;5;;;;1;27;6;"";1;300;2;;1;10;2;"";;1;10000;2;;2;;2;;2;"";;1;3;"";35;2;2;2;;2;4;2;"443-04066637160-A";"23";223
"833-08080615197-A-0011";1;2;"";;900;2;;1;"";1;1;"";7;"";4;"";;;;3;;2;2;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";35;3;3;2;;2;8;1;"833-08080615197-A";"13";237
"833-08080615197-A-0131";1;5;"";;200;2;;1;"";2;1;"";7;"";4;"";;;;3;;2;5;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";35;1;0;2;;2;8;1;"833-08080615197-A";"13";237
"822-07439156004-A-0051";1;2;"";;1500;2;;1;"";1;4;"";7;"";2;"";7;0;28;2;;1;;1;85;6;"";1;3500;2;;2;;2;"";;2;;1;200;2;;2;;2;"";;1;3;"";33;4;1;2;;2;8;1;"822-07439156004-A";"12";195
"832-08618989826-A-0171";1;2;"";;700;2;;1;"";1;2;"";7;"";1;"";24;0;70;1;3;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";32;3;3;2;;2;8;1;"832-08618989826-A";"12";213
"533-04722113984-A-0171";4;5;"";;100;2;;2;"";1;1;"";7;"";2;"";24;0;2;1;1;2;2;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;1;1;2;;2;5;1;"533-04721553261-A";"13";454
"623-03020909599-A-0171";1;2;"";;500;2;;5;"";2;1;"";7;"";1;"";24;0;80;1;1;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";30;2;1;1;20;2;6;1;"623-03020909599-A";"13";156
"711-05272742555-A-0301";1;3;"";;500;2;;1;"";1;2;"";7;"";2;"";24;0;30;1;2;1;;1;80;6;"";2;;1;5000;1;1000;2;"";;1;25000;2;;2;;2;;2;"";;1;3;"";30;3;2;2;;2;7;1;"711-05272742555-A";"11";312
"721-06390468629-A-0011";4;5;"";;300;2;;2;"";1;2;"";7;"";2;"";24;0;40;1;2;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;1;0;2;;2;7;1;"721-06390468629-A";"11";312
"722-05512629515-A-0011";1;1;"";150;;2;;1;"";1;2;"";7;"";1;"";24;0;58;2;;2;2;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";30;1;0;2;;2;7;1;"722-05512629515-A";"12";341
"723-04672241652-A-0381";1;2;"";;250;2;;2;"";1;2;"";7;"";2;"";24;0;45;1;1;1;;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;3;3;2;;2;7;1;"723-04672241652-A";"13";375
"723-04672241652-A-0451";1;2;"";;250;2;;2;"";1;2;"";7;"";2;"";24;0;45;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;1;1;2;;2;7;1;"723-04672241652-A";"13";375
"724-03911340313-A-0301";1;5;"";;300;2;;1;"";1;2;"";7;"";2;"";24;0;60;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;2;2;;1;7;1;"724-03911340313-A";"14";375
"731-06282675826-A-0021";4;1;"";1600;;2;;1;"";2;1;"";7;"";2;"";24;0;150;1;2;1;;1;240;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;1;2;;2;7;1;"731-06282675826-A";"11";341
"711-05281359424-A-0041";1;2;"";;1400;2;;1;"";2;2;"";7;"";2;"";24;0;70;2;;2;2;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";29;3;1;2;;2;7;1;"711-05281359424-A";"11";417
"433-05039996187-A-0141";4;1;"";50;;2;;2;"";1;1;"";7;"";2;"";4;0;11;1;1;2;2;1;22;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;0;2;;2;4;1;"433-05039996187-A";"13";283
"712-05191502517-A-0081";1;2;"";;600;2;;1;"";2;3;"";7;"";1;"";24;0;30;1;3;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";28;4;3;2;;2;7;1;"712-05191502517-A";"12";312
"723-04672241652-A-0261";1;1;"";200;;2;;2;"";1;2;"";7;"";2;"";24;0;45;1;1;1;;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;1;2;;2;7;1;"723-04672241652-A";"13";375
"723-04672241652-A-0701";1;1;"";800;;2;;2;"";1;2;"";7;"";1;"";24;0;40;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";28;2;2;2;;2;7;1;"723-04672241652-A";"13";375
"732-04922157459-A-0031";4;1;"";250;;2;;1;"";1;2;"";7;"";1;"";24;0;15;1;2;2;3;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;0;2;;2;7;1;"732-04922157459-A";"12";341
"732-04922157459-A-0051";4;1;"";250;;2;;2;"";1;2;"";7;"";1;"";24;0;20;1;2;2;3;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";28;1;0;2;;2;7;1;"732-04922157459-A";"12";341
"721-05269804979-A-0301";1;2;"";;350;2;;1;"";2;2;"";7;"";1;"";24;0;40;1;2;1;;1;60;6;"";2;;2;;2;;2;"";;2;;1;1800;2;;2;;2;"";;2;3;"";27;1;0;2;;2;7;1;"721-05269804979-A";"11";312
"721-05269804979-A-0381";4;1;"";150;;2;;1;"";1;1;"";7;"";1;"";24;0;30;1;2;2;4;1;40;6;"";2;;2;;1;20;2;"";;2;;2;;2;;2;;2;"";;1;3;"";27;1;0;2;;2;7;1;"721-05269804979-A";"11";312
"721-05269804979-A-0421";4;2;"";;300;2;;1;"";2;2;"";7;"";12;"SE HACE PASAR AGUA POTABLE DEL VECINO Y PAGA 20 BOLIVIANOS MENSUAL";;;20;5;;;;1;30;6;"";2;;2;;2;;2;"";;1;5000;2;;2;;2;;2;"";;2;3;"";27;1;0;2;;2;7;1;"721-05269804979-A";"11";312
"722-05474572749-A-0161";1;2;"";;200;2;;1;"";2;2;"";7;"";12;"SU PAPA QUE VIVE AL LADO LE PASA AGUA POTABLE";;;30;3;;1;;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";27;3;2;2;;2;7;1;"722-05474572749-A";"12";341
"314-05270386497-A-0062";1;2;"";;1500;2;;1;"";2;1;"";7;"";1;"";5;0;75;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";26;5;5;1;55;2;3;1;"314-05270386497-A";"14";192
"422-04534312579-A-0291";1;3;"";;250;2;;2;"";1;1;"";7;"";2;"";2;0;12;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";26;2;1;2;;2;4;1;"422-04534312579-A";"12";224
"723-05276277125-A-0291";4;1;"";300;;2;;1;"";1;2;"";7;"";2;"";24;0;50;1;1;2;4;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";26;1;0;2;;2;7;1;"723-05276277125-A";"13";375
"114-00418073525-A-0441";1;5;"";;200;2;;2;"";1;2;"";7;"";1;"";24;0;25;1;1;2;3;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;1;2;;1;1;1;"114-00418073525-A";"14";419
"711-05180703448-A-0161";1;3;"";;300;1;1;1;"";1;2;"";7;"";2;"";24;0;20;3;;1;;1;120;6;"";1;800;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;7;1;"711-05180703448-A";"11";312
"711-05266666670-A-0151";1;2;"";;500;2;;5;"";2;1;"";7;"";2;"";24;0;60;1;2;1;;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;2;7;1;"711-05266666670-A";"11";312
"711-05266666670-A-0191";1;1;"";400;;2;;1;"";2;2;"";7;"";2;"";24;0;40;5;;;;1;71;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;7;1;"711-05266666670-A";"11";312
"712-05172478914-A-0011";1;2;"";;500;2;;1;"";1;2;"";7;"";2;"";24;0;40;1;2;2;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;2;7;1;"712-05172478914-A";"12";341
"712-05172478914-A-0031";1;4;"";;400;2;;1;"";2;2;"";7;"";2;"";24;0;20;1;3;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;7;1;"712-05172478914-A";"12";341
"712-05172478914-A-0071";1;2;"";;300;2;;1;"";2;1;"";7;"";2;"";24;0;30;1;3;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;3;2;2;;2;7;1;"712-05172478914-A";"12";341
"712-05177441073-A-0131";1;4;"";;800;2;;1;"";2;2;"";7;"";2;"";24;0;37;2;;1;;1;130;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;0;2;;2;7;1;"712-05177441073-A";"12";312
"712-05177441073-A-0171";1;1;"";400;;2;;1;"";2;1;"";7;"";2;"";24;0;34;1;3;1;;1;86;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;1;7;1;"712-05177441073-A";"12";312
"712-05180832225-A-0032";1;4;"";;350;2;;1;"";2;2;"";7;"";2;"";24;0;60;1;2;2;2;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;7;1;"712-05180832225-A";"12";312
"712-05180832225-A-0052";1;2;"";;450;2;;1;"";2;2;"";7;"";2;"";24;0;35;1;3;2;2;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;2;7;1;"712-05180832225-A";"12";312
"712-05185600794-A-0031";1;1;"";200;;2;;1;"";1;2;"";7;"";2;"";24;0;20;1;3;2;2;1;45;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;0;2;;2;7;1;"712-05185600794-A";"12";341
"712-05185600794-A-0051";1;2;"";;300;2;;1;"";2;1;"";7;"";2;"";24;0;40;3;;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;1;2;;2;7;1;"712-05185600794-A";"12";341
"712-05188378703-A-0061";4;1;"";350;;2;;1;"";1;1;"";7;"";2;"";24;0;20;1;2;2;3;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;1;0;2;;2;7;1;"712-05188378703-A";"12";312
"712-05188378703-A-0201";1;4;"";;500;2;;1;"";1;2;"";7;"";2;"";24;0;70;1;3;1;;1;150;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;0;2;;1;7;1;"712-05188378703-A";"12";312
"712-05191502517-A-0061";1;2;"";;1000;2;;1;"";1;5;"TECHO PLANO";7;"";2;"";24;0;80;1;2;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";25;2;0;2;;2;7;1;"712-05191502517-A";"12";312
