dep;pro;can;ciu;area;zona;v00;v01;v02;v03;v04;v05;v06;v07;v081;v082;v083;v09;v10;v11;v12;v14;v15;v18h;v18m;i10v;i13v;v011;claviv;v18t;urb;folio;totpob;tothom;totmuj
9;95;0;99;1;1;2;14;1;5;4;5;4;3;3;4;3;2;1;0;2;1;3;4;2;13;11;1;10;6;1;1151551;6;4;2
9;95;0;99;1;1;2;14;1;5;4;5;4;3;3;4;3;2;1;0;1;1;3;1;4;14;11;1;10;5;1;1151552;5;1;4
9;95;0;99;1;1;2;11;2;8;8;8;8;8;8;8;8;8;888;888;8;8;8;0;0;15;0;1;0;0;1;1151553;;;
9;95;0;99;1;1;2;14;1;5;4;1;1;1;2;3;3;2;6;5;2;1;3;1;0;16;11;1;5;1;1;1151554;1;1;0
9;95;0;99;1;1;2;14;1;5;4;1;4;3;2;3;3;2;6;5;2;2;3;0;3;17;11;1;5;3;1;1151555;3;0;3
9;95;0;99;1;1;2;14;1;5;4;1;4;3;2;3;3;2;6;5;2;2;3;1;1;18;11;1;5;2;1;1151556;2;1;1
9;95;0;99;1;1;2;14;1;5;4;1;4;3;2;3;3;2;6;5;2;2;3;2;1;19;11;1;5;3;1;1151557;3;2;1
9;95;0;99;1;1;2;14;1;5;4;1;4;3;2;3;3;2;6;5;2;2;3;1;1;20;11;1;5;2;1;1151558;2;1;1
9;95;0;99;1;1;2;14;1;5;4;1;4;3;3;4;3;1;1;0;2;1;3;1;1;21;21;1;5;2;1;1151559;2;1;1
9;95;0;99;1;1;2;14;1;5;4;1;4;3;3;4;3;1;1;0;2;1;3;1;0;21;22;1;5;1;1;1151560;1;1;0
9;95;0;99;1;1;2;14;1;2;4;4;4;3;3;4;3;2;1;0;1;1;3;2;5;22;11;1;11;7;1;1151561;7;2;5
9;95;0;99;1;1;2;11;2;8;8;8;8;8;8;8;8;8;888;888;8;8;8;0;0;23;0;1;0;0;1;1151562;;;
9;95;0;99;1;1;2;14;1;6;4;5;4;3;3;4;3;2;2;1;1;1;3;0;5;24;11;1;10;5;1;1151563;5;0;5
9;95;0;99;1;1;2;14;1;5;4;1;4;4;1;3;3;2;7;3;1;1;3;3;0;25;11;1;5;3;1;1151564;3;3;0
9;95;0;99;1;1;2;14;1;7;4;6;4;3;3;4;3;2;1;0;1;1;3;2;5;26;11;1;10;7;1;1151565;7;2;5
9;95;0;99;1;1;2;14;1;6;4;5;4;5;3;4;3;2;1;0;2;1;5;4;3;27;11;1;10;7;1;1151566;7;4;3
9;95;0;99;1;1;2;14;1;6;4;5;4;5;3;4;3;2;1;0;2;2;3;4;5;28;11;1;10;9;1;1151567;9;4;5
9;95;0;99;1;1;2;14;1;6;4;5;4;3;3;4;3;2;1;0;2;1;3;2;0;29;11;1;10;2;1;1151568;2;2;0
9;95;0;99;1;1;2;14;1;2;4;5;4;5;3;4;3;2;2;1;1;1;3;7;4;30;11;1;9;11;1;1151569;11;7;4
9;95;0;99;1;1;3;14;1;1;4;5;4;3;1;3;3;1;2;1;1;1;3;2;1;1;11;1;9;3;1;1151570;3;2;1
9;95;0;99;1;1;3;14;1;1;4;3;4;5;1;3;3;1;3;1;1;1;3;1;5;2;11;1;11;6;1;1151571;6;1;5
9;95;0;99;1;1;3;14;1;1;4;5;4;4;1;3;3;2;2;1;1;1;3;3;3;3;11;1;9;6;1;1151572;6;3;3
9;95;0;99;1;1;3;11;1;5;1;1;4;3;1;3;3;1;5;2;1;1;3;2;6;4;11;1;4;8;1;1151573;8;2;6
9;95;0;99;1;1;3;14;1;5;4;1;4;3;1;3;3;1;4;1;1;2;3;0;3;5;11;1;5;3;1;1151574;3;0;3
9;95;0;99;1;1;3;11;1;5;1;1;4;3;1;3;3;1;1;0;2;2;3;1;3;6;11;1;4;4;1;1151575;4;1;3
9;95;0;99;1;1;3;11;1;5;1;3;4;5;1;3;3;2;2;1;1;1;3;2;3;7;11;1;4;5;1;1151576;5;2;3
9;95;0;99;1;1;3;14;1;5;4;1;4;5;3;4;3;2;3;1;1;2;3;2;1;8;11;1;5;3;1;1151577;3;2;1
9;95;0;99;1;1;3;14;1;5;4;1;4;5;1;3;3;2;3;1;1;1;3;2;5;9;11;1;5;7;1;1151578;7;2;5
9;95;0;99;1;1;3;14;1;5;4;1;4;5;3;4;3;1;2;1;2;1;3;1;1;10;11;1;5;2;1;1151579;2;1;1
9;95;0;99;1;1;3;14;1;5;4;3;4;5;1;3;3;2;4;3;1;1;3;4;2;11;11;1;5;6;1;1151580;6;4;2
9;95;0;99;1;1;3;14;1;5;4;1;2;1;1;3;1;1;3;2;1;2;3;1;3;12;11;1;5;4;1;1151581;4;1;3
9;95;0;99;1;1;3;14;1;5;4;1;4;5;3;4;3;2;2;1;2;1;3;2;0;13;11;1;5;2;1;1151582;2;2;0
9;95;0;99;1;1;3;14;2;8;8;8;8;8;8;8;8;8;888;888;8;8;8;0;0;14;0;1;0;0;1;1151583;;;
9;95;0;99;1;1;3;14;1;5;4;1;4;5;3;4;3;1;2;1;1;1;3;1;1;15;11;1;5;2;1;1151584;2;1;1
9;95;0;99;1;1;3;14;1;5;4;1;4;5;1;3;3;2;4;2;1;1;3;2;0;16;11;1;5;2;1;1151585;2;2;0
9;95;0;99;1;1;3;14;1;5;4;1;4;3;3;4;3;2;2;1;1;1;3;3;1;17;11;1;5;4;1;1151586;4;3;1
9;95;0;99;1;1;3;14;1;1;4;5;4;5;3;4;3;2;1;0;2;1;3;1;2;18;11;1;9;3;1;1151587;3;1;2
9;95;0;99;1;1;3;14;1;1;4;5;4;5;3;4;3;2;3;2;1;1;3;3;2;19;11;1;9;5;1;1151588;5;3;2
9;95;0;99;1;1;3;14;1;7;4;6;4;5;3;4;3;2;3;2;1;1;3;3;5;20;11;1;10;8;1;1151589;8;3;5
9;95;0;99;1;1;3;14;1;7;4;5;4;5;3;4;3;2;2;1;1;2;5;5;3;21;11;1;10;8;1;1151590;8;5;3
9;95;0;99;1;1;3;22;8;8;8;8;8;8;8;8;8;8;888;888;8;8;8;25;0;22;99;2;0;25;1;1151591;25;25;0
9;95;0;99;1;1;3;11;1;1;1;1;4;3;1;3;3;1;2;1;2;5;3;3;2;23;11;1;3;5;1;1151592;5;3;2
9;95;0;99;1;1;18;11;1;5;1;4;4;6;1;3;3;1;3;2;1;1;3;3;6;1;11;1;4;9;1;1151593;9;3;6
9;95;0;99;1;1;18;11;1;5;1;1;2;1;1;3;3;1;4;2;1;1;3;1;3;2;11;1;4;4;1;1151594;4;1;3
9;95;0;99;1;1;17;11;1;5;1;1;3;1;1;3;3;1;4;1;1;1;3;0;1;3;11;1;4;1;1;1151595;1;0;1
9;95;0;99;1;1;19;11;1;5;1;1;4;3;1;3;3;1;3;1;1;2;3;2;3;4;11;1;4;5;1;1151596;5;2;3
9;95;0;99;1;1;0;11;1;5;1;1;4;3;1;3;3;1;1;0;1;2;3;0;2;5;11;1;4;2;1;1151597;2;0;2
9;95;0;99;1;1;0;11;1;5;1;1;4;6;1;3;3;1;3;1;1;2;3;3;3;6;11;1;4;6;1;1151598;6;3;3
9;95;0;99;1;1;0;11;1;5;1;1;4;3;1;3;3;1;1;0;2;5;3;2;3;7;11;1;4;5;1;1151599;5;2;3
9;95;0;99;1;1;0;11;1;3;1;4;4;3;1;3;3;1;7;1;1;5;3;1;0;8;11;1;2;1;1;1151600;1;1;0
9;95;0;99;1;1;0;11;1;3;1;4;4;7;1;2;3;1;10;3;2;5;3;3;0;9;11;1;2;3;1;1151601;3;3;0
9;95;0;99;1;1;0;11;1;1;1;4;4;3;1;2;3;1;6;1;1;5;3;1;0;10;11;1;3;1;1;1151602;1;1;0
9;95;0;99;1;1;0;11;1;1;1;3;4;3;2;3;3;1;4;3;2;5;3;4;0;11;11;1;3;4;1;1151603;4;4;0
9;95;0;99;1;1;0;14;1;5;4;1;4;3;1;3;3;2;2;1;1;1;3;4;0;12;11;1;5;4;1;1151604;4;4;0
9;95;0;99;1;1;0;14;1;5;4;1;4;3;1;3;3;1;1;0;1;1;3;1;3;13;11;1;5;4;1;1151605;4;1;3
9;95;0;99;1;1;0;11;1;5;1;1;4;3;1;3;3;1;3;1;1;2;3;3;1;14;11;1;4;4;1;1151606;4;3;1
9;95;0;99;1;1;0;11;1;3;1;3;4;6;1;3;3;1;1;0;2;2;3;1;2;15;11;1;2;3;1;1151607;3;1;2
9;95;0;99;1;1;0;11;1;5;1;3;4;3;1;3;3;1;1;0;2;2;3;1;0;16;11;1;4;1;1;1151608;1;1;0
9;95;0;99;1;1;22;11;1;3;1;2;4;6;1;2;3;1;1;0;2;5;3;1;0;17;11;1;2;1;1;1151609;1;1;0
9;95;0;99;1;1;22;11;1;1;1;4;4;6;1;2;3;1;2;1;1;5;3;1;0;18;11;1;3;1;1;1151610;1;1;0
9;95;0;99;1;1;22;11;1;3;1;2;4;6;1;2;3;1;1;0;2;5;3;1;0;19;11;1;2;1;1;1151611;1;1;0
9;95;0;99;1;1;22;11;1;3;1;2;4;6;1;2;3;1;1;0;2;5;3;1;0;20;11;1;2;1;1;1151612;1;1;0
9;95;0;99;1;1;22;11;1;3;1;2;2;1;1;2;3;1;1;0;2;5;3;1;0;21;11;1;2;1;1;1151613;1;1;0
9;95;0;99;1;1;22;11;1;1;1;4;4;6;1;2;3;1;2;1;2;5;3;1;1;22;11;1;3;2;1;1151614;2;1;1
9;95;0;99;1;1;22;11;1;1;1;4;4;6;1;2;3;1;2;1;2;5;3;3;2;23;11;1;3;5;1;1151615;5;3;2
9;95;0;99;1;1;22;22;8;8;8;8;8;8;8;8;8;8;888;888;8;8;8;163;0;24;99;2;0;163;1;1151616;163;163;0
9;95;0;99;1;1;16;11;1;3;1;4;1;1;1;2;1;1;6;3;1;5;3;1;1;1;11;1;2;2;1;1151617;2;1;1
9;95;0;99;1;1;8;14;1;1;4;3;4;3;1;3;3;1;2;1;1;2;3;1;1;2;11;1;11;2;1;1151618;2;1;1
9;95;0;99;1;1;8;14;1;1;4;5;4;3;1;3;3;1;5;4;1;1;3;4;4;3;11;1;9;8;1;1151619;8;4;4
