folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_17;s8_17e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_184e;s8_191a;s8_191b;s8_192a;s8_192b;s8_193a;s8_193b;s8_194a;s8_194b;s8_195a;s8_195b;s8_195e;s8_20;s8_21;s8_21e;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;s8_29;s8_30;s8_31;s8_32;s8_331;s8_332;s8_333;s8_334;s8_335;s8_34;upm;estrato;area;ccons;chabita;cserv;cviv2;factor_ant;factor
"10031030371";"01";1;1;2;"";;100;2;"";1;2;"";5;"";6;"";2;5;2;;;1;22;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";23;4;1;1;1;2;;2;;;3;;;;;;;"100310703";"22";2;0;3;2;0;283;265
"10031030421";"01";1;1;2;"";;100;2;"";1;2;"";1;"";6;"";2;5;1;1;3;1;15;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100310703";"22";2;0;3;2;0;283;265
"10031030471";"01";1;1;2;"";;300;2;"";1;2;"";5;"";6;"";2;5;1;1;3;1;15;3;"";2;;2;;1;20;2;;"";2;;2;;2;;2;;2;;"";1;4;"";24;3;1;2;;2;;1;1;20;3;;;;;;;"100310703";"22";2;0;3;2;0;283;265
"10031030521";"01";1;1;2;"";;500;2;"";1;1;"";5;"";6;"";2;5;1;1;3;1;15;2;"";2;;2;;2;;2;;"";1;800;2;;2;;2;;2;;"";1;4;"";30;5;2;2;;2;;1;1;20;3;;;;;;;"100310703";"22";2;0;3;2;0;283;265
"10031030571";"01";1;1;2;"";;400;1;"";1;2;"";5;"";6;"";2;5;1;1;3;1;28;5;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";28;2;2;2;;2;;1;2;50;3;;;;;;;"100310703";"22";2;1;3;2;1;283;265
"10045030021";"01";1;1;2;"";;100;1;"";1;2;"";5;"";6;"";2;3;1;1;3;1;25;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";28;3;3;2;;2;;1;2;50;3;;;;;;;"100451103";"22";2;1;3;2;1;325;304
"10045030061";"01";1;1;5;"";;100;1;"";1;1;"";5;"";6;"";2;5;2;;;1;16;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;4;"";27;1;1;2;;2;;2;;;3;;;;;;;"100451103";"22";2;0;2;2;0;325;304
"10045030091";"01";1;1;2;"";;100;2;"";2;3;"";5;"";6;"";2;5;1;1;3;1;20;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";30;2;1;2;;2;;1;2;20;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
"10045030131";"01";1;1;2;"";;80;2;"";2;4;"";5;"";6;"";2;5;2;;;1;15;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;4;"";25;4;1;2;;2;;1;2;20;3;;;;;;;"100451103";"22";2;-1;2;2;0;325;304
"10045030161";"01";1;1;2;"";;100;2;"";1;2;"";5;"";6;"";2;5;2;;;1;15;3;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;;2;;;3;;;;;;;"100451103";"22";2;0;3;2;0;325;304
