folio;departamento;totper;rcompra;s7_13_01;s7_13_02;s7_13_03;s7_13_04;s7_13_05;s7_13_06;s7_13_07;s7_13_08;s7_13_09;s7_13_10;s7_13_11;s7_13_12;s7_13_13;s7_13_14;s7_13_15;s7_14_01;s7_14_02;s7_14_03;s7_14_04;s7_14_05;s7_14_06;s7_14_07;s7_14_08;s7_14_09;s7_15_01;s7_15_02;s7_15_03;s7_15_04;s7_15_05;s7_15_06;s7_15_07;s7_15_08;s7_15_09;s7_15_10;s7_15_11;s7_15_12;s7_15_13;s7_15_14;s7_15_15;upm;estrato;area;suma_sal;factor_ant;factor
"10031030521";"01";3;2;18;0;70;0;0;0;20;7;0;0;0;0;0;0;0;0;0;93.33333333333333;40;0;0;46.66666666666666;18.33333333333333;0;0;0;0;0;183.3333333333333;0;0;0;0;0;0;0;0;0;0;"100310703";"22";2;496.6666666666666;283;265
"10031030571";"01";6;1;23;0;60;0;0;0;0;28;0;0;0;0;0;0;0;0;0;46.66666666666666;0;0;0;0;0;0;6.666666666666667;0;0;0;0;0;0;0;0;0;0;2;0;0;0;"100310703";"22";2;166.3333333333333;283;265
"10045030021";"01";4;2;16;0;20;0;0;0;25;14;0;0;10;0;0;0;0;0;0;0;0;3.333333333333333;0;6.666666666666667;0;0;0;0;0;0;0;0;2.5;0;0;0;0;.1666666666666667;0;0;0;"100451103";"22";2;97.66666666666667;325;304
"10045030061";"01";1;1;16;0;0;0;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;27;325;304
"10045030091";"01";2;2;20;0;0;0;0;0;10;14;0;0;10;100;0;0;0;0;0;0;0;0;0;5;26.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;0;0;"100451103";"22";2;186.5;325;304
"10045030131";"01";5;1;16;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;26;325;304
"10045030161";"01";2;1;8;0;30;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;58;325;304
"10045030201";"01";4;2;34;0;20;0;0;20;13;7;10;0;0;0;0;0;0;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;174.8333333333333;325;304
"10045030241";"01";6;1;18;0;60;0;0;0;20;7;0;0;0;0;0;0;0;0;333.3333333333333;166.6666666666667;166.6666666666667;0;0;0;66.66666666666667;0;6.666666666666667;16.66666666666667;0;0;291.6666666666667;0;0;8.333333333333334;0;0;0;0;0;0;0;"100451103";"22";2;1161.666666666667;325;304
"10045030271";"01";1;1;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;12;325;304
"10045030311";"01";5;4;100;0;48;0;0;15;50;126;10;0;0;0;0;0;0;0;33.33333333333334;0;0;13.33333333333333;4.666666666666667;0;0;0;0;0;0;0;0;0;0;33.33333333333334;0;0;0;2.5;0;0;0;"100451103";"22";2;436.1666666666666;325;304
"10045030341";"01";3;1;35;0;12;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;30;0;0;25;0;0;0;0;0;0;0;"100451103";"22";2;227;325;304
"10045030381";"01";2;2;12;0;60;0;0;15;20;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100451103";"22";2;157;325;304
"10045030411";"01";3;1;50;0;12;0;0;30;35;7;0;0;0;0;0;0;0;0;76.66666666666667;66.66666666666667;0;0;0;0;6.666666666666667;0;0;0;0;0;0;0;4.166666666666667;16.66666666666667;0;0;0;.25;0;0;0;"100451103";"22";2;305.0833333333334;325;304
"10069020011";"01";3;3;8;0;0;0;0;0;12;0;0;0;0;50;0;0;0;0;0;266.6666666666667;0;0;0;0;24.33333333333333;0;0;0;0;0;133.3333333333333;0;0;0;0;0;0;0;0;0;0;"100690202";"22";2;494.3333333333334;222;208
"10069020051";"01";4;1;15;0;20;0;0;0;20;0;0;0;8;0;0;0;0;0;23.33333333333333;0;0;0;0;0;28.33333333333333;0;0;0;0;0;0;0;0;10.25;0;0;0;0;0;0;0;"100690202";"22";2;124.9166666666667;222;208
"10069020091";"01";6;2;10;0;0;0;0;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.666666666666667;0;0;0;0;0;0;1.666666666666667;0;0;0;0;0;0;0;0;0;"100690202";"22";2;38.33333333333333;222;208
"10069020131";"01";3;2;10;0;0;0;0;0;10;8;0;0;5;0;0;0;0;0;0;10;0;0;0;3.333333333333333;3.333333333333333;0;0;0;0;0;0;1.666666666666667;0;.4166666666666667;0;0;0;0;0;0;0;"100690202";"22";2;51.75;222;208
"10069020171";"01";8;1;30;0;50;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;1.666666666666667;0;0;0;0;0;0;0;"100690202";"22";2;97.5;222;208
"10069020211";"01";3;2;15;0;100;0;0;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;.8333333333333334;0;0;0;0;0;0;1.25;0;0;0;0;0;0;0;"100690202";"22";2;176.0833333333333;222;208
"10069020261";"01";5;2;20;0;50;0;0;0;15;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100690202";"22";2;99;222;208
"10069020301";"01";4;1;10;0;0;0;0;0;20;8;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3.333333333333333;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;"100690202";"22";2;48.83333333333334;222;208
"10069020341";"01";1;1;10;0;25;0;0;0;15;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;.8333333333333334;0;0;0;0;0;0;0;0;0;"100690202";"22";2;75.83333333333333;222;208
"10069020381";"01";6;1;15;0;50;0;0;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"100690202";"22";2;84;222;208
"10069020421";"01";1;1;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.916666666666667;0;0;0;0;0;0;0;0;"100690202";"22";2;19.91666666666667;222;208
"10069020461";"01";3;1;15;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;20;16.66666666666667;23.33333333333333;11.66666666666667;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;"100690202";"22";2;121.6666666666667;222;208
"10100020021";"01";2;1;30;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;8.333333333333334;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;0;0;0;0;0;0;0;0;"101000202";"22";2;49.16666666666667;301;282
"10100020071";"01";5;2;15;0;0;0;0;0;50;7;0;0;15;0;0;0;0;0;83.33333333333333;10;16.66666666666667;0;0;10;16.66666666666667;0;0;0;0;0;0;4.166666666666667;0;0;0;0;0;0;0;0;0;"101000202";"22";2;227.8333333333333;301;282
"10100020111";"01";2;1;10;0;0;0;0;0;10;0;0;0;8;0;0;0;0;0;0;50;33.33333333333334;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;0;0;0;0;0;0;0;0;"101000202";"22";2;112.1666666666667;301;282
"10100020161";"01";4;2;10;0;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;22;301;282
"10100020201";"01";6;1;16;0;0;0;0;0;15;30;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.333333333333334;0;0;0;0;0;0;0;"101000202";"22";2;79.33333333333333;301;282
"10100020251";"01";1;1;23;0;20;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;78;301;282
"10100020301";"01";4;1;35;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;65;301;282
"10100020341";"01";3;2;35;0;0;0;0;0;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;53;301;282
"10100020391";"01";4;2;18;0;30;0;0;0;25;0;0;0;0;0;0;0;0;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;106.3333333333333;301;282
"10100020431";"01";7;2;15;0;60;0;0;0;4;0;0;0;0;25;0;0;0;0;0;66.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;170.6666666666667;301;282
"10100020481";"01";2;1;10;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;26.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;1.666666666666667;0;0;0;0;0;0;0;"101000202";"22";2;50.33333333333334;301;282
"10100020521";"01";7;2;10;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;33.33333333333334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101000202";"22";2;58.33333333333334;301;282
"10120120021";"01";7;2;35;0;30;0;0;0;18;7;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;1115;234;219
"10120120051";"01";2;1;10;0;20;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;38;234;219
"10120120081";"01";6;2;20;0;30;0;0;0;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;80;234;219
"10120120111";"01";4;2;20;0;30;0;0;0;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;67;234;219
"10120120131";"01";3;1;10;0;0;0;0;0;7;0;0;0;8;0;0;0;0;0;6.666666666666667;0;0;0;0;5;10;0;0;0;0;0;0;0;0;8.333333333333334;0;0;0;0;0;0;0;"101200112";"22";2;55.00000000000001;234;219
"10120120161";"01";5;1;15;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.83333333333333;0;0;0;0;0;0;0;"101200112";"22";2;35.83333333333334;234;219
"10120120191";"01";4;1;15;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;23;234;219
"10120120221";"01";4;2;50;0;20;0;0;0;20;7;0;0;5;0;0;0;0;0;83.33333333333333;33.33333333333334;23.33333333333333;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;252;234;219
"10120120251";"01";5;1;20;0;20;0;0;0;20;0;12;0;7;0;0;0;0;0;0;0;0;0;0;0;6.666666666666667;0;0;0;0;0;0;3.333333333333333;0;0;0;0;0;0;0;0;0;"101200112";"22";2;89;234;219
"10120120281";"01";2;2;10;0;40;0;0;0;20;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;7.166666666666667;0;0;0;0;0;0;0;0;0;"101200112";"22";2;182.1666666666667;234;219
"10120120301";"01";7;1;20;0;20;0;0;0;15;14;10;0;5;50;0;0;0;0;0;0;0;0;0;6.666666666666667;26.66666666666667;0;0;0;0;0;0;1.666666666666667;0;0;0;0;0;0;0;0;0;"101200112";"22";2;169;234;219
"10120120331";"01";4;2;20;0;20;0;0;0;40;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101200112";"22";2;120.6666666666667;234;219
"10142020051";"01";3;1;10;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;10;0;0;0;0;16.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101420102";"22";2;56.66666666666667;271;254
"10142020101";"01";7;2;10;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.8333333333333334;0;2.5;0;0;0;0;0;0;0;"101420102";"22";2;33.33333333333333;271;254
"10142020151";"01";2;1;10;0;0;0;0;0;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1.666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;8.333333333333334;0;0;0;"101420102";"22";2;40;271;254
"10142020201";"01";3;2;10;0;0;0;0;0;5;0;0;0;0;100;0;0;0;0;16.66666666666667;11.66666666666667;0;0;0;0;3.333333333333333;0;0;0;0;0;0;0;0;2.5;0;0;0;2.5;0;0;0;"101420102";"22";2;151.6666666666667;271;254
"10142020241";"01";3;2;16;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.916666666666667;0;0;0;0;0;0;0;"101420102";"22";2;36.91666666666666;271;254
"10142020291";"01";4;2;25;0;0;0;0;0;11;7;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"101420102";"22";2;54;271;254
"10142020341";"01";5;2;15;0;0;0;0;0;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.916666666666667;0;0;0;0;0;0;0;"101420102";"22";2;44.91666666666666;271;254
"10142020391";"01";4;2;10;0;0;0;0;0;5;0;0;0;0;100;0;0;0;0;16.66666666666667;11.66666666666667;0;0;0;0;0;0;0;0;0;0;20.83333333333333;0;0;2.5;0;0;0;0;0;0;0;"101420102";"22";2;166.6666666666667;271;254
"10142020441";"01";2;2;25;0;50;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.66666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101420102";"22";2;176.6666666666667;271;254
"10142020491";"01";5;1;30;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;23.33333333333333;0;0;0;0;0;10;0;0;0;0;0;0;0;0;10.41666666666667;0;0;0;0;0;0;0;"101420102";"22";2;83.75;271;254
"10142020531";"01";1;1;20;0;10;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"101420102";"22";2;50;271;254
