folio;upm;s01a_00a;s01a_00b;s01a_00c;s01a_01;totper;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;area;depto;estrato;factor
130131;"623-03005140751-A";4;11;2016;1;3;1;"";4;"";;300;1;"";1;1;"";5;"";1;"";14;0;7;20;1;1;1;1;1;1;2;2;1;90;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";13;2;2;2;;2;1;6;"13";163
130133;"623-03005140751-A";5;11;2016;1;2;1;"";4;"";;400;1;"";1;1;"";5;"";1;"";16;0;7;30;1;1;1;1;1;1;2;2;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";13;2;1;2;;2;1;6;"13";163
130139;"444-04303001270-A";4;11;2016;4;4;3;"";;"";70;;2;"";1;1;"";7;"";8;"";;;;5;2;1;1;1;5;;;;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;2;4;"24";167
130141;"444-04303001270-A";5;11;2016;1;2;1;"";4;"";;200;2;"";1;1;"";3;"";8;"";;;;5;1;1;1;1;1;1;1;;1;40;6;"";2;;2;;2;;2;"";;1;20000;2;;2;;2;;2;"";;1;3;"";24;2;1;2;;2;2;4;"24";167
130149;"351-05511658530-D";4;11;2016;1;1;6;"";;"";;100;5;"";2;1;"";1;"";12;"DE LA CASA DEL DUEÑO DE ENTRE RÍOS";;;;7;1;1;1;1;5;;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;2;;2;2;3;"21";490
130151;"351-05511658530-D";4;11;2016;1;3;6;"";;"";;50;5;"";2;1;"";2;"";12;"DE LA CASA DEL DUEÑO DE ENTRE RIOS";;;;10;1;1;1;1;5;;;;2;;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;2;;2;2;3;"21";490
130155;"351-05511658530-D";4;11;2016;1;2;1;"";4;"";;50;5;"";2;2;"";1;"";9;"";;;;0;2;2;1;2;5;;;;2;;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;0;2;;2;2;3;"21";490
130159;"712-05182841648-A";25;10;2016;1;3;1;"";4;"";;600;1;"";2;1;"";5;"";1;"";24;0;7;50;2;1;1;1;1;2;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";52;2;1;2;;2;1;7;"12";415
130163;"714-05234915224-A";1;11;2016;1;1;3;"";;"";2800;;1;"";1;2;"";6;"";1;"";24;0;7;120;2;1;1;1;1;1;1;;1;200;6;"";1;80;2;;2;;1;"REPARACION DE GRIFO";20;2;;2;;2;;2;;2;"";;1;3;"";27;3;2;2;;1;1;7;"14";570
130164;"714-05234915224-A";1;11;2016;1;2;1;"";2;"";;700;1;"";1;3;"";6;"";1;"";24;0;7;280;2;1;1;1;1;1;2;2;1;450;6;"";1;1500;2;;1;400;2;"";;2;;2;;2;;2;;2;"";;1;3;"";27;2;2;2;;2;1;7;"14";570
130165;"714-05234915224-A";1;11;2016;3;1;1;"";4;"";;1400;1;"";1;3;"";6;"";1;"";24;0;7;200;2;1;1;1;1;1;1;;1;200;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;3;2;1;200;1;1;7;"14";570
130171;"714-05236821797-A";4;11;2016;1;1;7;"";;"";;1000;1;"";1;2;"";5;"";1;"";24;0;7;60;2;1;1;1;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;3;1;2;;2;1;7;"14";475
130173;"714-05236821797-A";4;11;2016;4;2;3;"";;"";600;;1;"";1;2;"";6;"";2;"";24;0;7;50;2;1;1;1;1;1;1;;1;50;6;"";1;250;1;60;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";14;1;0;2;;2;1;7;"14";475
130174;"714-05236821797-A";4;11;2016;1;5;1;"";2;"";;2000;1;"";1;2;"";6;"";1;"";24;0;7;220;2;1;1;1;1;1;1;;1;500;6;"";1;10000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";75;7;4;1;400;1;1;7;"14";475
130182;"314-05235570101-A";4;11;2016;4;3;5;"";;"";;500;1;"";1;2;"";6;"";1;"";4;0;1;60;2;1;1;1;1;1;1;;1;55;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;2;;1;1;3;"14";254
130186;"314-05235570101-A";5;11;2016;1;1;7;"";;"";;1500;1;"";1;2;"";6;"";1;"";3;0;2;140;2;1;1;1;1;1;2;2;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;2;1;1;40;2;1;3;"14";254
130229;"412-04800292279-A";1;11;2016;1;8;1;"";4;"";;500;1;"";1;1;"";5;"";2;"";4;0;7;40;2;1;1;1;1;1;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";50;4;4;2;;2;1;4;"12";186
130239;"412-04800292279-A";2;11;2016;1;3;1;"";4;"";;500;2;"";1;1;"";5;"";1;"";4;0;7;20;2;1;1;1;1;1;1;;1;40;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;4;3;2;;1;1;4;"12";186
130243;"412-04800292279-A";2;11;2016;1;5;1;"";4;"";;200;1;"";1;1;"";5;"";2;"";4;0;6;18;2;1;1;1;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;4;3;2;;2;1;4;"12";186
130249;"413-00476008740-A";4;11;2016;1;4;1;"";4;"";;100;1;"";1;1;"";5;"";2;"";12;0;7;19;2;1;1;1;3;;1;;1;35;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;0;2;;1;1;4;"13";204
130254;"413-00476008740-A";4;11;2016;1;1;7;"";;"";;50;2;"";2;1;"";1;"";2;"";4;0;7;19;2;1;1;1;5;;;;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;0;2;;2;1;4;"13";204
130256;"413-00476008740-A";4;11;2016;1;3;1;"";4;"";;23;1;"";2;1;"";1;"";2;"";1;0;7;20;2;1;1;1;5;;;;1;45;2;"";1;2000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";56;1;0;2;;2;1;4;"13";204
130260;"443-04890400099-A";1;11;2016;1;1;1;"";4;"";;60;2;"";1;4;"";1;"";9;"";;;;15;1;1;2;2;5;;;;2;;1;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;1;0;2;;2;2;4;"23";173
130269;"443-04890400099-A";1;11;2016;1;2;1;"";4;"";;150;2;"";1;4;"";1;"";9;"";;;;18;1;1;1;1;5;;;;1;28;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";35;2;1;2;;2;2;4;"23";173
130272;"443-04890400099-A";1;11;2016;4;4;7;"";;"";;100;2;"";1;1;"";5;"";9;"";;;;;1;1;2;2;3;;1;;1;32;6;"";1;2000;2;;1;50;2;"";;2;;2;;2;;2;;2;"";;1;3;"";35;2;1;2;;2;2;4;"23";173
130277;"451-04765466421-D";4;11;2016;1;1;1;"";4;"";;60;2;"";1;1;"";5;"";9;"";;;;0;1;1;1;2;5;;;;1;24;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;0;2;;2;2;4;"21";244
130278;"451-04765466421-D";4;11;2016;1;2;1;"";4;"";;20;2;"";2;1;"";1;"";9;"";;;;0;2;1;1;1;5;;;;1;23;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;2;"";0;1;0;2;;2;2;4;"21";244
130281;"451-04765466421-D";4;11;2016;1;2;1;"";4;"";;80;2;"";1;1;"";1;"";9;"";;;;0;2;1;1;1;5;;;;1;22;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;1;"";0;1;0;2;;2;2;4;"21";244
130285;"712-05182841648-A";25;10;2016;1;3;7;"";;"";;600;1;"";1;1;"";6;"";1;"";24;0;7;32;2;1;1;1;1;2;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";8;1;1;2;;2;1;7;"12";415
130297;"913-01211372556-A";4;11;2016;1;4;3;"";;"";2100;;1;"";1;1;"";6;"";10;"";;;;60;2;1;1;1;1;3;1;;1;350;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;1;1;9;"13";77
130302;"913-01211372556-A";4;11;2016;1;5;1;"";4;"";;1500;1;"";1;1;"";6;"";10;"";;;;180;2;1;1;1;1;3;1;;1;380;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;5;2;2;;2;1;9;"13";77
130308;"913-01211372556-A";5;11;2016;1;2;1;"";4;"";;1000;5;"";2;2;"";3;"";10;"";;;;30;1;1;1;1;1;2;1;;1;500;6;"";1;20000;2;;2;;2;"";;2;;1;5000;2;;2;;2;"";;1;3;"";23;4;1;1;30;1;1;9;"13";77
130311;"314-05254523966-A";3;11;2016;1;4;1;"";4;"";;1400;1;"";1;2;"";6;"";1;"";24;0;1;60;1;1;1;1;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;6;3;2;;2;1;3;"14";230
130316;"314-05254523966-A";4;11;2016;4;3;7;"";;"";;500;1;"";1;1;"";3;"";1;"";24;0;1;60;2;1;1;1;1;1;2;3;1;90;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;1;2;;2;1;3;"14";230
130320;"314-05254523966-A";4;11;2016;1;4;1;"";4;"";;500;1;"";1;1;"";6;"";1;"";24;0;2;70;1;1;1;1;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;5;4;1;50;2;1;3;"14";230
130325;"414-00476345172-A";4;11;2016;1;4;1;"";4;"";;800;2;"";1;1;"";3;"";2;"";12;0;7;35;2;1;1;1;1;1;1;;1;100;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";9;4;2;1;30;2;1;4;"14";303
130326;"414-00476345172-A";4;11;2016;1;5;1;"";4;"";;800;2;"";1;1;"";5;"";2;"";12;0;7;32;2;1;1;1;1;1;1;;1;110;6;"";1;105000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";13;2;1;1;30;1;1;4;"14";303
130327;"414-00476345172-A";4;11;2016;4;4;5;"";;"";;300;2;"";1;1;"";3;"";2;"";12;0;7;10;2;1;1;1;1;1;2;2;1;27;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";45;2;1;2;;1;1;4;"14";303
130341;"743-05579776682-D";4;11;2016;1;7;1;"";4;"";;300;5;"";2;1;"";2;"";4;"";;;;60;1;1;1;1;1;2;1;;1;90;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";60;2;2;2;;2;2;7;"23";574
130342;"743-05579776682-D";4;11;2016;1;11;1;"";4;"";;300;5;"";2;1;"";2;"";4;"";;;;40;2;1;1;1;1;2;1;;1;150;2;"";1;2800;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";60;7;6;2;;2;2;7;"23";574
130343;"743-05579776682-D";4;11;2016;1;3;1;"";4;"";;400;5;"";2;1;"";2;"";4;"";;;;100;1;1;1;1;1;2;1;;1;60;2;"";2;;2;;2;;2;"";;2;;1;350;2;;2;;2;"";;1;3;"";30;3;2;2;;2;2;7;"23";574
130367;"721-06497316461-A";1;11;2016;1;9;3;"";;"";850;;1;"";1;2;"";7;"";2;"";24;0;7;180;1;1;2;2;1;5;1;;1;130;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;3;3;2;;2;1;7;"11";371
130368;"721-06497316461-A";1;11;2016;4;7;1;"";4;"";;1500;1;"";1;2;"";6;"";2;"";24;0;7;60;1;1;1;2;2;;1;;1;200;2;"";2;;2;;2;;2;"";;1;21000;2;;2;;2;;2;"";;1;3;"";30;1;1;2;;2;1;7;"11";371
130389;"721-06497316461-A";1;11;2016;1;6;7;"";;"";;500;1;"";1;2;"";5;"";2;"";24;0;7;40;1;1;2;2;2;;1;;1;30;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";30;2;1;2;;2;1;7;"11";371
130396;"742-06160082215-D";4;11;2016;4;5;7;"";;"";;300;1;"";2;2;"";5;"";2;"";24;0;7;35;1;1;2;1;2;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;3;1;2;;2;2;7;"22";479
130397;"742-06160082215-D";4;11;2016;2;6;1;"";4;"";;100;5;"";2;4;"";1;"";2;"";24;0;7;20;1;1;2;2;2;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;2;7;"22";479
130398;"742-06160082215-D";4;11;2016;5;1;1;"";4;"";;0;7;"NO TIENE PARED DUERME EN CAMPING";2;5;"CARPA";1;"";12;"NO TIENE CAÑERIA DE AGUA";;;;0;2;2;2;2;5;;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;2;7;"22";479
130411;"742-06160082215-D";5;11;2016;1;4;1;"";4;"";;250;5;"";2;1;"";1;"";2;".";;;;0;2;2;2;2;5;;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;1;"";0;1;0;2;;2;2;7;"22";479
130416;"414-00476345172-A";4;11;2016;1;9;1;"";4;"";;1000;2;"";1;1;"";3;"";2;"";12;0;7;50;2;1;1;1;1;1;1;;1;140;5;"";1;10000;2;;1;1500;2;"";;2;;2;;2;;2;;2;"";;1;4;"";40;5;4;1;30;1;1;4;"14";303
130427;"414-00476345172-A";4;11;2016;1;5;1;"";4;"";;600;2;"";1;1;"";3;"";1;"";12;0;7;60;2;1;1;1;1;1;1;;1;250;5;"";1;4000;1;200;2;;2;"";;1;10000;2;;2;;1;2000;2;"";;1;4;"";25;5;4;1;30;1;1;4;"14";303
130433;"414-00476345172-A";5;11;2016;1;6;1;"";4;"";;200;1;"";1;1;"";5;"";1;"";12;0;7;60;2;1;1;1;1;1;1;;1;110;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";20;4;4;1;49;1;1;4;"14";303
130440;"721-06497316461-A";2;11;2016;4;5;3;"";;"";250;;1;"";1;1;"";5;"";2;"";24;0;7;35;2;1;2;2;1;3;2;3;1;37;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";30;1;0;2;;2;1;7;"11";371
130446;"721-06497316461-A";1;11;2016;4;5;2;"";2;"";;1000;1;"";1;1;"";5;"";2;"";24;0;7;35;1;1;2;2;1;2;2;2;1;40;2;"";2;;1;120;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;1;2;;2;1;7;"11";371
130452;"721-06497316461-A";1;11;2016;4;2;3;"";;"";350;;5;"";2;1;"";5;"";2;"";24;0;7;35;1;1;2;2;1;2;2;2;1;40;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";35;1;0;2;;2;1;7;"11";371
130455;"742-06160082215-D";4;11;2016;1;3;1;"";4;"";;200;5;"";2;1;"";1;"";2;"";24;0;7;25;1;1;2;2;3;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;1;1;2;;2;2;7;"22";479
130459;"742-06160082215-D";4;11;2016;1;4;1;"";4;"";;300;5;"";2;1;"";1;"";2;"";24;0;7;20;1;1;2;2;3;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;2;2;;2;2;7;"22";479
130465;"742-06160082215-D";4;11;2016;1;1;6;"";;"";;100;5;"";2;1;"";1;"";2;"";24;0;7;15;2;1;2;2;3;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";35;1;0;2;;2;2;7;"22";479
130467;"314-05235570101-A";5;11;2016;1;3;5;"";;"";;1400;1;"";1;2;"";6;"";1;"";8;0;1;146;2;1;1;1;1;1;1;;1;180;6;"";1;350;2;;1;335;2;"";;2;;2;;2;;1;500;2;"";;1;3;"";45;4;3;1;100;1;1;3;"14";254
130471;"414-00476345172-A";4;11;2016;1;3;1;"";4;"";;500;1;"";1;1;"";3;"";2;"";12;0;7;120;2;1;1;1;1;1;1;;1;220;6;"";1;100;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";36;6;3;1;30;1;1;4;"14";303
130488;"721-06497316461-A";1;11;2016;4;2;3;"";;"";200;;1;"";1;2;"";5;"";2;"";24;0;7;25;2;1;2;2;1;2;2;3;1;25;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";30;1;0;2;;2;1;7;"11";371
130489;"721-06497316461-A";1;11;2016;4;3;3;"";;"";200;;1;"";1;2;"";5;"";2;"";24;0;7;30;2;1;2;2;1;2;2;3;1;25;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";30;1;0;2;;2;1;7;"11";371
130490;"721-06497316461-A";1;11;2016;1;4;1;"";4;"";;800;1;"";1;2;"";5;"";1;"";24;0;7;74;2;1;1;1;1;2;1;;1;90;2;"";2;;1;400;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;3;2;2;;2;1;7;"11";371
130500;"742-06160082215-D";4;11;2016;4;4;6;"";;"";;250;1;"";1;1;"";8;"OCRE";2;"";24;0;7;35;2;2;1;2;1;2;2;8;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";38;1;0;2;;2;2;7;"22";479
130501;"742-06160082215-D";4;11;2016;4;2;6;"";;"";;250;1;"";1;1;"";8;"OCRE";2;"";24;0;7;30;2;2;2;2;1;2;2;8;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";38;1;0;2;;2;2;7;"22";479
130502;"742-06160082215-D";5;11;2016;1;5;1;"";4;"";;200;6;"";2;4;"";1;"";2;"";24;0;7;35;2;2;2;2;2;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";35;1;0;2;;2;2;7;"22";479
130518;"742-06160082215-D";4;11;2016;4;1;6;"";;"";;50;1;"";2;1;"";1;"";2;"";24;0;7;0;1;2;2;2;1;3;2;9;2;;2;"";1;200;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";17;1;0;2;;2;2;7;"22";479
130519;"742-06160082215-D";5;11;2016;1;5;1;"";4;"";;500;5;"";2;1;"";1;"";2;"";24;0;7;17;1;1;2;2;3;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;2;2;;2;2;7;"22";479
130520;"742-06160082215-D";4;11;2016;1;1;1;"";4;"";;250;5;"";2;1;"";1;"";2;"";24;0;7;15;1;2;2;2;3;;1;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;2;1;2;;2;2;7;"22";479
130528;"614-02972533774-A";6;11;2016;1;2;3;"";;"";900;;1;"";1;3;"";6;"";1;"";24;0;7;80;2;1;1;1;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";80;2;1;2;;2;1;6;"14";163
130537;"211-06095117628-A";5;11;2016;1;3;7;"";;"";;200;1;"";1;1;"";5;"";2;"";24;0;7;35;2;1;1;1;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;2;2;2;;1;1;2;"11";160
130541;"913-01211372556-A";4;11;2016;1;6;1;"";4;"";;1300;1;"";1;1;"";6;"";2;"";12;0;1;30;1;1;1;1;2;;1;;1;280;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;6;5;2;;2;1;9;"13";77
130542;"913-01211372556-A";5;11;2016;1;4;3;"";;"";1600;;5;"";2;1;"";2;"";2;"";12;0;1;25;1;1;1;2;2;;1;;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;1;9;"13";77
130543;"913-01211372556-A";5;11;2016;1;1;1;"";1;"";;1500;1;"";1;1;"";6;"";2;"";12;0;1;20;1;1;1;2;3;;1;;1;200;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;3;3;2;;2;1;9;"13";77
130544;"913-01211372556-A";4;11;2016;1;1;1;"";4;"";;1200;1;"";1;1;"";6;"";2;"";12;0;1;20;1;1;1;2;2;;1;;1;200;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;3;2;2;;2;1;9;"13";77
130557;"314-05244375179-A";5;11;2016;4;1;3;"";;"";250;;1;"";1;1;"";6;"";1;"";24;0;7;25;2;1;1;1;1;1;2;2;1;25;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;1;3;"14";230
130559;"314-05244375179-A";4;11;2016;1;2;1;"";4;"";;1500;1;"";1;2;"";6;"";1;"";4;0;1;200;2;1;1;1;1;1;1;;1;230;6;"";2;;2;;1;3000;2;"";;2;;2;;2;;2;;2;"";;1;4;"";27;6;2;1;250;1;1;3;"14";230
130562;"314-05244375179-A";5;11;2016;1;3;3;"";;"";516;;1;"";1;2;"";6;"";1;"";1;0;3;159;2;1;1;1;1;1;2;3;1;75;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;2;;2;1;3;"14";230
130566;"313-05218953578-A";3;11;2016;4;4;3;"";;"";200;;1;"";1;3;"";6;"";11;"";;;;20;2;1;2;2;1;1;2;6;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;1;2;;2;1;3;"13";213
130567;"313-05218953578-A";3;11;2016;4;4;3;"";;"";220;;1;"";1;3;"";6;"";11;"";;;;14;1;1;2;2;1;1;2;6;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";45;1;1;2;;2;1;3;"13";213
130568;"313-05218953578-A";3;11;2016;4;3;3;"";;"";200;;1;"";1;3;"";6;"";11;"";;;;25;1;1;1;2;1;1;2;3;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;1;2;;2;1;3;"13";213
130585;"314-05244375179-A";4;11;2016;1;2;3;"";;"";600;;1;"";1;3;"";5;"";1;"";6;0;4;200;1;1;1;1;1;1;2;4;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;3;2;2;;2;1;3;"14";230
130586;"314-05244375179-A";5;11;2016;1;3;3;"";;"";1200;;1;"";1;1;"";5;"";1;"";6;0;4;180;1;1;1;1;1;1;1;;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";35;4;2;1;50;1;1;3;"14";230
130595;"314-05244375179-A";5;11;2016;1;3;3;"";;"";160;;1;"";1;1;"";3;"";1;"";4;0;4;150;1;1;1;1;1;1;1;;1;150;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";35;4;2;1;250;1;1;3;"14";230
130599;"522-02552435672-A";4;11;2016;1;3;1;"";4;"";;150;2;"";1;1;"";5;"";1;"";24;0;3.5;5;2;1;1;1;1;1;2;2;1;10;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;1;1;2;;2;1;5;"12";283
130603;"522-02552435672-A";5;11;2016;1;4;1;"";4;"";;600;1;"";1;3;"";5;"";1;"";24;0;6;8;2;1;1;1;1;1;1;;1;95;6;"";2;;2;;2;;2;"";;1;50000;2;;2;;2;;2;"";;1;3;"";45;6;3;2;;1;1;5;"12";283
130610;"214-00628779143-A";4;11;2016;1;5;3;"";;"";2500;;1;"";1;1;"";5;"";1;"";24;0;7;68;2;1;1;1;1;1;1;;1;400;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;5;4;2;;1;1;2;"14";258
130616;"214-00628779143-A";4;11;2016;1;3;1;"";4;"";;3500;2;"";1;1;"";3;"";1;"";24;0;7;70;2;1;1;1;1;1;1;;1;250;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;12;6;1;25;2;1;2;"14";258
130628;"214-00628779143-A";5;11;2016;1;1;1;"";4;"";;3000;2;"";1;1;"";5;"";1;"";24;0;7;70;2;1;1;1;1;1;1;;1;220;5;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;2;2;;2;1;2;"14";258
130630;"522-02552435672-A";4;11;2016;4;3;7;"";;"";;200;2;"";1;1;"";5;"";2;"";10;0;4;15;2;1;1;1;1;1;2;2;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;1;0;2;;2;1;5;"12";283
130634;"522-02552435672-A";5;11;2016;1;2;1;"";4;"";;200;1;"";1;3;"";5;"";1;"";10;0;4;25;2;1;1;1;1;1;1;;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";45;4;1;2;;2;1;5;"12";283
130637;"522-02552435672-A";6;11;2016;1;3;1;"";4;"";;150;2;"";1;1;"";5;"";2;"";12;0;4;13;2;1;1;1;1;1;1;;1;28;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";23;3;1;2;;2;1;5;"12";283
130691;"622-03354483213-A";4;11;2016;1;1;1;"";4;"";;350;2;"";1;1;"";5;"";8;"";;;;13;2;1;1;1;2;;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;2;1;2;;2;1;6;"12";139
130692;"622-03354483213-A";4;11;2016;1;3;1;"";4;"";;400;2;"";1;2;"";5;"";8;"";;;;12;2;1;1;1;2;;1;;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;4;3;2;;2;1;6;"12";139
130693;"622-03354483213-A";4;11;2016;1;3;1;"";4;"";;400;1;"";1;1;"";5;"";8;"";;;;12;1;1;1;1;2;;1;;1;20;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";25;4;2;2;;2;1;6;"12";139
130707;"622-03354483213-A";4;11;2016;1;4;1;"";4;"";;1000;2;"";1;1;"";5;"";8;"";;;;13;2;1;1;1;1;2;2;5;1;30;2;"";1;4000;2;;1;1200;2;"";;2;;2;;2;;2;;2;"";;1;3;"";100;4;3;2;;2;1;6;"12";139
