idep;ipro;isec;i03;i04;i05;i06;i07;i08;i09;i10;i13;typ;i12;i122;v01;v02;v03;v04;v05;v06;v07;v08;v081;v082;v09;v10;v11;v12;v13;v14;v15a;v15b;v15c;v15d;v15e;v15f;v15g;v15h;v15i;v16a;v16b;v16c;v16d;v16e;v17;v171a;v171b1;v171b2;v171b3;v171b4;v171b5;v172a;v172b1;v172b2;v172b3;v172b4;v172b5;v18h;v18m;v18t;otro1;v20;v21;v22;otro2;nbi;urba;vparti
9;1;1;1;101;1;10;1;1;362;24;24;1;;;4;1;7;4;5;4;2;3;;;2;1;1;2;1;1;0;0;0;9;0;0;0;2;0;0;10;1;0;0;2;;;;;;;;;;;;;6;5;11;"035";2;10;1;" ";1539;1;1
9;1;1;1;101;1;10;1;1;362;25;25;1;;;4;1;5;4;5;4;2;3;;;2;2;1;1;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;;;;;;;;;;;;;1;0;1;"035";1;10;1;" ";1370;1;1
9;1;1;1;101;1;10;1;1;362;26;26;1;;;1;1;5;2;4;1;1;1;1;2;1;2;2;2;5;1;0;0;0;0;8;0;0;0;0;0;0;8;0;0;2;;;;;;;;;;;;;5;3;8;"035";2;4;1;" ";1191;1;1
9;1;1;1;101;1;10;1;1;362;27;27;1;;;4;1;5;4;1;4;2;3;;;2;1;1;1;3;1;0;0;0;0;5;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;1;4;5;"035";3;5;1;" ";1461;1;1
9;1;1;1;101;1;10;1;1;362;28;28;1;;;4;1;7;5;5;1;1;3;;;2;1;1;2;1;1;0;0;0;0;0;0;0;7;0;0;7;0;0;0;2;;;;;;;;;;;;;3;4;7;"035";2;10;1;" ";1734;1;1
9;1;1;1;101;1;10;1;1;362;29;29;1;;;4;1;7;5;5;1;1;3;;;2;1;1;2;5;1;0;0;0;0;0;0;0;7;0;0;7;0;0;0;2;;;;;;;;;;;;;4;3;7;"035";3;10;1;" ";1628;1;1
9;1;1;1;101;1;10;1;1;362;30;30;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"035";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;1;362;31;31;1;;;1;1;7;1;1;4;2;3;;;2;1;1;2;3;1;0;0;0;0;4;0;0;0;0;0;1;3;0;0;2;;;;;;;;;;;;;1;3;4;"035";2;11;1;" ";1557;1;1
9;1;1;1;101;1;10;1;1;362;32;32;1;;;6;1;5;4;1;3;1;2;1;2;2;2;2;2;5;1;0;5;0;0;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;2;3;5;"035";2;5;1;" ";1064;1;1
9;1;1;1;101;1;10;1;1;362;33;33;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"035";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;1;362;34;34;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"035";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;1;362;35;35;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"035";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;1;1;1;;;4;1;5;4;5;4;2;3;;;2;1;1;2;5;1;6;0;0;0;0;0;0;0;0;0;6;0;0;0;2;;;;;;;;;;;;;4;2;6;"026";2;10;1;" ";1403;1;1
9;1;1;1;101;1;10;1;2;9999;2;2;1;;;1;1;5;2;1;4;2;3;;;2;1;1;2;1;1;1;0;0;0;0;3;0;0;1;0;4;0;0;1;2;;;;;;;;;;;;;4;1;5;"026";3;4;1;" ";1414;1;1
9;1;1;1;101;1;10;1;2;9999;3;3;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;4;4;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;5;5;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;6;6;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;7;7;1;;;1;1;5;2;1;4;2;3;;;2;1;1;2;5;1;5;0;0;0;0;0;0;0;0;0;0;5;0;0;2;;;;;;;;;;;;;1;4;5;"026";2;4;1;" ";1255;1;1
9;1;1;1;101;1;10;1;2;9999;8;8;1;;;1;1;5;1;1;1;1;1;1;2;1;4;3;1;5;2;0;0;0;3;0;0;0;0;0;0;2;0;1;0;2;;;;;;;;;;;;;2;1;3;"026";2;4;1;" ";790;1;1
9;1;1;1;101;1;10;1;2;9999;9;9;1;;;1;1;5;1;1;1;1;1;1;2;1;3;3;1;5;1;0;7;0;1;0;0;0;0;0;0;5;3;0;0;2;;;;;;;;;;;;;5;3;8;"026";4;4;1;" ";920;1;1
9;1;1;1;101;1;10;1;2;9999;10;10;1;;;1;1;3;4;4;4;2;3;;;1;4;2;1;5;2;0;5;0;0;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;1;4;5;"026";2;11;1;" ";916;1;1
9;1;1;1;101;1;10;1;2;9999;11;11;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;12;12;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
9;1;1;1;101;1;10;1;2;9999;13;13;1;;;4;1;6;4;5;4;3;3;;;2;1;1;1;1;1;5;0;0;0;0;0;0;0;0;0;5;0;0;0;2;;;;;;;;;;;;;1;4;5;"026";2;10;1;" ";1562;1;1
9;1;1;1;101;1;10;1;2;9999;14;14;1;;;6;1;7;5;1;4;2;3;;;2;1;1;2;3;1;0;0;0;6;0;0;0;0;0;0;6;0;0;0;2;;;;;;;;;;;;;5;1;6;"026";2;11;1;" ";1402;1;1
9;1;1;1;101;1;10;1;2;9999;15;15;1;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;"026";0;0;1;" ";10000;1;1
